visits,total_sales,credit_card,sales_product_category_1,sales_product_category_2,sales_product_category_3,sales_product_category_4,sales_product_category_5,sales_product_category_6,sales_product_category_7,sales_product_category_8,sales_product_category_9,sales_product_category_10,sales_product_category_11,sales_product_category_12,sales_product_category_13,sales_product_category_14,sales_product_category_15,sales_store_1,sales_store_2,sales_store_3,sales_store_4,sales_last_3_months,sales_last_month,sales_last_6_months,sales_last_year,margin,promos,days_on_file,days_between_purchases,markdown,crossbuy,coupons,individual_items,stores_visited,phone_on_file,online_shopper,attempts,conversions,product_uniformity,days_between_visits,customer_type,returns,conversion
2,160.48,0,0.0,0.0,0.0,0.23,0.23,0.27,0.15,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,142.48,18.0,0.0,0.0,0.0,79.98,0.0,0.57,6,470,235.0,0.14,7,0,7,3,Y,0,4,0,23.3,31.33,37,0.13,0
19,1776.38,1,0.23,0.0,0.0,0.11,0.26,0.14,0.0,0.11,0.05,0.0,0.0,0.0,0.008075,0.01,0.15,1565.8,0.0,210.58,0.0,476.98,177.0,1265.47,0.0,0.54,14,491,25.84,0.14,13,4,45,3,Y,1,5,5,20.19,13.27,12,0.04,1
3,156.97,1,0.17,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,156.97,0.0,0.0,0.0,0.0,118.0,0.46,23,445,148.33,0.34,3,1,4,1,Y,0,9,0,116.68,31.78,28,0.0,1
6,1419.36,1,0.39,0.0,0.03,0.04,0.15,0.12,0.07,0.02,0.0,0.0,0.0,0.01,0.09,0.01,0.08,0.0,591.94,827.42,0.0,696.95,473.99,987.88,0.0,0.59,17,693,115.5,0.11,17,2,42,5,Y,0,8,5,22.42,20.38,5,0.0,1
8,470.35,1,0.32,0.0,0.0,0.16,0.08,0.15,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.02,0.0,0.0,167.9,302.45,0.0,125.42,0.0,225.39,0.0,0.42,19,656,82.0,0.3,11,0,23,2,Y,0,10,0,17.16,27.33,15,0.18,0
4,553.2,0,0.39,0.0,0.0,0.12,0.05,0.24,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,476.2,77.0,0.0,83.97,0.0,83.97,0.0,0.51,0,361,90.25,0.21,7,0,18,3,N,0,0,0,23.71,51.57,35,0.11,0
2,286.92,0,0.0,0.04,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.17,0.0,0.0,0.0,237.92,49.0,0.0,0.0,0.0,0.0,167.99,0.53,12,581,290.5,0.15,5,0,10,2,Y,0,4,0,33.95,116.2,4,0.0,0
4,320.7,1,0.09,0.0,0.0,0.14,0.0,0.12,0.0,0.0,0.17,0.0,0.0,0.03,0.16,0.03,0.3,0.0,0.0,320.7,0.0,0.0,0.0,0.0,98.0,0.65,15,388,97.0,0.14,9,0,15,1,Y,0,6,0,19.53,43.11,4,0.28,0
6,1093.92,1,0.13,0.03,0.05,0.22,0.12,0.17,0.13,0.06,0.03,0.01,0.0,0.0,0.0,0.0,0.15,0.0,898.5,122.98,72.44,1093.92,501.42,1093.92,0.0,0.34,4,83,13.83,0.3,15,0,48,3,Y,0,0,0,16.59,4.88,11,0.0,0
34,1172.78,1,0.28,0.03,0.0,0.0,0.07,0.0,0.02,0.03,0.02,0.0,0.0,0.0,0.0,0.0,0.02,18.0,135.25,1019.53,0.0,307.98,0.0,521.38,518.99,0.55,18,684,20.11,0.24,11,5,72,4,Y,0,8,7,9.22,7.43,10,1.12,1
