This file was created by CMPT_IND_RETS using the 201112 CRSP database.
It contains value- and equal-weighted returns for  5 industry portfolios.

The portfolios are constructed at the end of June.

The annual returns are from January to December.

Missing data are indicated by -99.99 or -999.


  Average Value Weighted Returns -- Monthly
        Cnsmr  Manuf  HiTec  Hlth   Other
192607   4.10   2.73   1.83   1.64   2.12
192608   2.58   2.26   2.41   4.51   4.36
192609   2.06  -0.39   1.06   0.61   0.29
192610  -4.65  -2.42  -2.26  -0.73  -2.85
192611   3.19   2.54   3.07   5.53   2.13
192612   4.10   2.76   1.03   0.15   3.39
192701  -1.42   0.13   0.46   4.91   1.52
192702   5.42   4.00   4.19   1.65   5.04
192703   2.40  -1.35   3.65   0.88   1.26
192704   2.97  -1.09   1.35   3.25   0.90
192705   5.43   5.68   5.28   4.01   6.40
192706  -1.63  -3.06   0.51   0.45  -2.10
192707   8.67   7.55   7.51   9.84   6.18
192708   6.78   1.99   3.01   0.28  -1.21
192709   5.40   4.90   4.00   5.65   4.75
192710  -3.41  -4.71  -4.56   5.13  -3.80
192711   7.73   7.71   6.48   3.68   4.53
192712   3.52   2.19   1.26  -0.46   1.99
192801  -1.10   0.20  -0.04   2.69  -1.17
192802  -1.57  -1.12  -0.37  -1.38  -1.94
192803  13.72   6.98  10.33  10.54   6.05
192804   0.54   7.66   2.70   2.35   4.09
192805   3.57   0.12   4.47   9.27   0.09
192806  -4.16  -4.33  -5.17  -3.15  -4.23
192807   2.24   1.05  -0.31   2.68  -0.32
192808   8.68   6.23   7.36  15.11   4.77
192809   3.84   4.31   0.45  -1.50   1.94
192810   1.41   2.42   2.36  -0.08  -0.32
192811   7.84  16.04  13.47   5.05  10.06
192812  -1.05   0.48   3.76  -0.28   0.47
192901   0.34   5.96  11.70   3.25   5.67
192902  -1.59   1.34  -0.91  -0.16  -0.05
192903  -3.81   1.14   4.47  -1.93  -2.21
192904   1.02   2.51   2.42   1.55   0.57
192905  -9.25  -5.63  -3.64  -7.67   0.09
192906   6.68  12.27  15.64   4.13   5.81
192907   0.12   4.63  10.95   2.87   6.64
192908   4.88   9.87  11.80   4.04   7.89
192909  -5.49  -3.93  -5.02  -6.98  -6.47
192910 -20.47 -20.23 -22.61 -18.02 -11.84
192911 -12.08 -12.25 -14.76  -8.53  -9.62
192912   0.77   2.42   6.15   1.40  -0.40
193001   5.07   4.93   6.16   2.24   4.56
193002   0.10   2.19   7.38   2.88   3.38
193003   3.83   9.99   8.52   5.90   4.92
193004  -1.90  -1.09  -0.81   0.05  -6.56
193005   1.80  -2.10  -2.35  -1.22  -0.94
193006 -15.39 -16.88 -14.73 -13.21 -11.87
193007   5.47   4.05   2.77   6.12   3.56
193008   1.53  -0.39   2.00   8.08  -0.30
193009 -11.24 -13.66 -12.28  -8.71 -10.37
193010  -7.53  -9.21 -10.80  -4.66  -8.40
193011   2.12  -3.36  -3.28  -3.08  -5.26
193012  -5.98  -7.93  -7.02  -7.30  -8.87
193101   6.22   4.58   4.95   7.96  11.87
193102  11.92  11.99  13.38   8.59   5.43
193103  -3.01  -7.31  -5.54   1.81  -9.55
193104  -5.70 -12.71  -8.40  -3.69  -9.74
193105 -10.58 -13.83 -10.73  -9.97 -17.58
193106  10.76  15.70  13.90   9.58  16.37
193107  -2.53  -7.09  -7.17   3.18  -9.89
193108  -0.43   1.28   2.05   0.03  -4.11
193109 -28.17 -29.81 -26.74 -29.95 -26.25
193110   9.75   9.29   7.04  11.06   1.26
193111  -5.01  -7.70  -9.73  -2.45 -18.61
193112 -10.54 -15.33  -9.97  -4.11 -16.43
193201  -0.57  -2.13  -6.78  -3.00   6.80
193202   4.05   6.80   9.77   2.80  -0.32
193203 -10.08  -9.31 -11.39  -6.87 -15.90
193204 -15.66 -17.70 -16.19 -19.91 -22.28
193205 -23.26 -17.78 -16.06 -34.74 -29.99
193206  -1.12   1.10  -5.40  10.43  -2.08
193207  28.21  35.33  24.49  29.95  55.52
193208  29.44  35.87  33.83  37.46  58.74
193209   1.47  -5.53  -1.84 -12.86  -4.05
193210 -14.18 -11.11 -11.89 -19.42 -17.90
193211  -5.75  -6.10  -3.39   6.32  -6.96
193212   4.52   4.15   4.88   8.11   4.91
193301   2.05  -0.81   0.67  -1.30   8.79
193302 -13.68 -16.92 -11.61 -10.12 -16.35
193303   9.55   1.99  -2.45  -3.94   4.00
193304  42.69  41.63  25.66  38.66  30.17
193305  16.40  22.02  18.19  24.87  31.35
193306  14.38  13.15  10.59  10.85  14.35
193307  -8.40 -11.88  -6.91 -19.43  -6.59
193308  12.00  13.03   7.57  -0.29  14.59
193309  -9.87  -9.61  -8.86  -1.32 -16.47
193310  -9.02  -6.96  -8.07  -5.91 -10.84
193311  12.00  10.71   8.08   9.40   5.36
193312   2.59   2.33  -1.85 -11.19   4.90
193401  13.79  11.81   9.73  16.23  18.58
193402  -2.08  -2.85  -1.31  -3.41  -1.88
193403   1.20  -1.43   2.02  -0.75   0.76
193404  -0.75  -2.74  -1.65   8.35  -1.55
193405  -6.74  -7.85  -5.18  -0.29  -7.27
193406   1.72   3.33   1.81   2.07   3.15
193407  -7.81 -11.93  -7.27  -1.85 -17.18
193408   6.37   6.55   4.03  -3.03   4.33
193409   0.52  -1.05   1.06   0.64  -0.35
193410   0.13  -2.93  -1.36  -0.94  -2.11
193411  11.12   9.32   4.06   3.83   5.71
193412   0.13   0.46   1.19   0.63  -0.11
193501  -4.13  -3.01   0.26  -0.92  -6.67
193502  -0.33  -3.20   0.66   4.40  -4.53
193503  -4.99  -2.80  -2.18  -3.24  -5.43
193504   5.82  10.92   9.59   3.57   8.78
193505   2.16   3.75   5.98  -4.31   3.75
193506   6.04   5.21   6.32   4.06   6.27
193507   7.88   7.26   7.37   3.90   7.31
193508   2.58   2.09   3.70   0.12   3.29
193509   3.76   1.28   5.74   1.33   0.57
