Date,Open,High,Low,Close,Volume,Adj Close
4/01/2000,18.37336,19.04399,18.37336,19.01644,8905600,4.08443
5/01/2000,18.56628,18.69489,18.33662,18.57363,8159500,3.98932
6/01/2000,18.61222,18.92455,18.61222,18.69489,6801500,4.01536
7/01/2000,18.7491,19.75135,18.74082,19.61816,14802200,4.21367
10/01/2000,19.65949,20.21989,19.42983,19.76973,11260900,4.24622
11/01/2000,19.57865,19.61355,19.07154,19.20016,11426900,4.12389
12/01/2000,18.83269,19.06237,18.69489,18.82075,5852100,4.0424
13/01/2000,18.33385,19.01644,18.31824,18.73898,10437700,4.02484
14/01/2000,18.74082,18.96131,18.42849,18.83913,7415500,4.04635
17/01/2000,18.80513,18.82352,18.46523,18.64621,4798900,4.00491
18/01/2000,18.37336,18.55709,18.33662,18.37336,5772800,3.94631
19/01/2000,18.37336,18.37336,17.92321,17.98201,4528700,3.86225
20/01/2000,18.38162,18.60302,18.29067,18.45697,14690700,3.96426
21/01/2000,18.28425,18.28425,17.8589,17.98843,5044400,3.86363
24/01/2000,17.9223,18.09775,17.77622,17.81296,4447400,3.82594
25/01/2000,17.46112,17.85615,17.4547,17.85615,7144500,3.83522
26/01/2000,17.85615,17.85615,17.85615,17.85615,0,3.83522
27/01/2000,17.69171,17.82215,17.48225,17.63843,9966500,3.78845
28/01/2000,17.54656,17.70274,17.36283,17.4547,14890400,3.74899
31/01/2000,17.19195,17.28014,16.97699,17.22043,8030300,3.69867
1/02/2000,17.29117,17.3169,16.94942,16.95677,6450700,3.64205
2/02/2000,16.94942,17.54656,16.94942,17.17908,8674400,3.68979
3/02/2000,17.20756,17.40876,16.69219,16.99535,10045800,3.65033
4/02/2000,16.99535,17.22502,16.81163,16.83001,7547600,3.61482
7/02/2000,16.72711,17.40876,16.71976,17.27462,6357700,3.71031
8/02/2000,17.17908,17.50063,17.17908,17.4547,4974600,3.74899
9/02/2000,17.4547,17.4547,16.81163,16.85756,6627700,3.62074
10/02/2000,16.62789,16.62789,16.07669,16.15294,20660400,3.46939
11/02/2000,16.23654,16.35228,16.07669,16.10424,10494000,3.45893
14/02/2000,15.9885,16.07669,15.68166,15.72759,11359100,3.37804
15/02/2000,15.80752,16.39821,15.7919,16.35228,7184500,3.51221
16/02/2000,16.63525,16.81163,15.5806,15.70923,11015000,3.37409
17/02/2000,15.89938,15.93889,15.53467,15.62746,14840500,3.35653
18/02/2000,15.43361,15.47955,15.02022,15.24989,11517700,3.27543
21/02/2000,15.03951,15.74597,15.03951,15.6633,5109600,3.36423
22/02/2000,15.7423,15.80109,15.20395,15.44097,7619300,3.31647
23/02/2000,15.47955,15.61736,15.02022,15.02022,6981300,3.22611
24/02/2000,15.06616,15.50712,15.06616,15.47038,7368800,3.32279
25/02/2000,15.59438,15.69085,15.15802,15.39229,12873400,3.30602
28/02/2000,15.38768,15.38768,14.63439,14.80892,7111300,3.18072
29/02/2000,14.95591,14.95591,14.55169,14.78321,9200900,3.1752
1/03/2000,14.78137,15.15802,14.74461,14.88243,9922900,3.19651
2/03/2000,14.92836,15.28663,14.92836,15.06616,10998900,3.23597
3/03/2000,15.39687,15.40606,15.02022,15.02022,9677500,3.22611
6/03/2000,15.39871,15.39871,14.50301,14.50301,5711900,3.11502
7/03/2000,14.4047,15.15802,14.33122,15.15802,9933400,3.2557
8/03/2000,15.15802,15.24989,14.71706,14.76299,10030900,3.17086
9/03/2000,14.84476,15.64492,14.79056,15.57141,6455900,3.34449
10/03/2000,15.70923,16.03076,15.70923,15.82681,7402100,3.39935
13/03/2000,15.67798,15.98482,15.62653,15.93889,4275300,3.42342
14/03/2000,15.80109,16.56358,15.80109,16.44415,11568000,3.53194
15/03/2000,16.4074,16.4074,15.89296,16.21816,12707200,3.4834
16/03/2000,16.37066,16.79324,16.37066,16.72895,6505200,3.59311
17/03/2000,16.99535,17.16991,16.44415,16.53603,8801400,3.55168
20/03/2000,16.44415,16.53603,16.07669,16.51856,6280500,3.54792
21/03/2000,16.32015,16.48091,16.16855,16.30635,4063000,3.50234
22/03/2000,16.27787,16.43314,16.141,16.43314,6966600,3.52958
23/03/2000,16.21448,16.35228,16.12262,16.26042,5346600,3.49248
24/03/2000,16.21448,16.24206,15.89296,16.07943,6836100,3.45361
27/03/2000,15.99769,16.11343,15.85622,15.98482,7449700,3.43329
28/03/2000,16.0032,16.08588,15.93889,16.03995,11033300,3.44513
29/03/2000,16.00227,16.21448,15.91132,16.21448,7134200,3.48261
30/03/2000,16.23287,16.52684,16.21448,16.35228,8803700,3.51221
31/03/2000,16.16855,16.62789,16.15019,16.39088,49510700,3.5205
3/04/2000,16.4901,16.94942,16.4901,16.93197,8607200,3.63672
4/04/2000,16.98893,17.27095,16.97699,17.14234,8174400,3.6819
5/04/2000,17.08722,17.3169,16.85756,17.15888,9119100,3.68546
6/04/2000,17.27095,17.4547,17.22502,17.3169,5942200,3.71939
7/04/2000,17.3169,17.40876,16.90349,17.3169,6015900,3.71939
10/04/2000,16.99535,17.14234,16.67383,16.67383,9272500,3.58127
11/04/2000,16.50939,16.58196,16.37066,16.39821,4756800,3.52208
12/04/2000,16.38995,16.67383,16.2788,16.51765,5586400,3.54773
13/04/2000,16.39547,16.48091,16.07669,16.35228,5794900,3.51221
14/04/2000,16.16855,16.17774,16.03076,16.13088,4534100,3.46466
17/04/2000,15.46393,16.12262,15.46393,15.89296,6250300,3.41355
18/04/2000,15.98482,16.30635,15.90215,16.16855,5150000,3.47275
19/04/2000,16.53603,16.53603,15.98482,16.52684,5055200,3.5497
20/04/2000,16.3477,16.4901,16.21448,16.41017,3495700,3.52464
21/04/2000,16.41017,16.41017,16.41017,16.41017,0,3.52464
24/04/2000,16.41017,16.41017,16.41017,16.41017,0,3.52464
25/04/2000,16.41017,16.41017,16.41017,16.41017,0,3.52464
26/04/2000,16.71976,17.02292,16.64626,17.02292,8360800,3.65625
27/04/2000,16.90807,16.99535,16.7565,16.90349,5561800,3.6306
28/04/2000,16.81163,16.94023,16.64626,16.94023,13327100,3.63849
1/05/2000,16.71976,16.80243,16.51765,16.59113,3256000,3.56351
2/05/2000,16.76569,17.2434,16.76569,17.22594,5456200,3.69986
3/05/2000,17.45654,17.45654,16.67383,16.80336,9655600,3.6091
4/05/2000,16.62054,16.62054,15.93889,16.19612,10174700,3.47867
5/05/2000,16.25674,16.26042,15.57141,16.09507,4225400,3.45696
8/05/2000,16.44415,16.4901,16.16855,16.32931,3925100,3.50728
9/05/2000,16.36515,16.44415,15.71381,15.71381,4186900,3.37508
10/05/2000,15.70923,15.70923,15.11209,15.24989,7141200,3.27543
11/05/2000,15.16537,15.52548,15.06616,15.3142,7233900,3.28925
12/05/2000,15.47038,15.52548,15.13964,15.50068,3915700,3.3293
15/05/2000,15.52364,15.89296,15.52364,15.70923,6073300,3.37409
16/05/2000,15.7919,16.37066,15.7919,16.31003,7050100,3.50313
17/05/2000,16.53603,16.53603,15.94808,16.13181,7225700,3.46486
18/05/2000,16.07669,16.21448,15.82865,15.89847,4879500,3.41474
19/05/2000,15.91867,16.13181,15.7184,15.80109,5422700,3.39382
22/05/2000,15.62195,15.74597,15.53467,15.66788,5689700,3.36521
23/05/2000,15.85989,16.08588,15.85989,16.01237,6183200,3.4392
24/05/2000,15.70923,16.15019,15.70923,16.10517,4213100,3.45913
25/05/2000,16.12262,16.35228,15.98482,16.33392,5840600,3.50827
26/05/2000,16.03076,16.07669,15.91132,16.03076,13178300,3.44315
29/05/2000,15.98482,16.12262,15.98482,16.07762,4630700,3.45322
30/05/2000,15.98482,16.30635,15.94808,16.30635,5834500,3.50234
31/05/2000,16.16855,16.50846,16.12262,16.36147,7262000,3.51418
1/06/2000,16.35321,16.36515,16.10424,16.36515,6059000,3.51497
2/06/2000,16.36056,16.53603,16.35228,16.4074,7393200,3.52405
5/06/2000,16.35228,16.39821,16.12262,16.15019,12061900,3.73917
6/06/2000,16.16855,16.21448,16.03076,16.16855,6341100,3.74342
7/06/2000,16.07669,16.26042,16.07669,16.16855,4037300,3.74342
8/06/2000,16.21725,16.29718,16.11343,16.28983,2744500,3.7715
9/06/2000,16.29718,16.32473,16.18693,16.31554,4408000,3.77745
12/06/2000,16.31554,16.31554,16.31554,16.31554,0,3.77745
13/06/2000,16.2347,16.26042,16.04914,16.21448,8315300,3.75405
14/06/2000,16.21448,16.67383,16.16855,16.63616,7647500,3.85168
15/06/2000,16.76569,17.08722,16.76569,16.95861,16588600,3.92634
16/06/2000,17.0128,17.39957,16.91268,17.35364,8547400,4.0178
19/06/2000,17.16072,17.27095,16.94942,17.06886,6774900,3.95186
20/06/2000,16.8943,17.23421,16.8943,17.19746,8673900,3.98164
21/06/2000,17.14234,17.34445,16.99535,17.19746,4701100,3.98164
22/06/2000,17.22502,17.73029,17.21585,17.61637,8992300,4.07862
23/06/2000,17.91402,18.09775,17.62005,17.62098,10554800,4.07969
26/06/2000,17.54656,18.1051,17.4547,18.1051,5494700,4.19178
27/06/2000,18.09042,18.09042,17.82215,18.00588,5863300,4.16881
28/06/2000,17.91402,18.08858,17.77622,18.05182,5668900,4.17944
29/06/2000,17.86809,17.95076,17.4547,17.73764,10026000,4.1067
30/06/2000,17.56492,18.1437,17.56492,18.1437,50485200,4.20071
3/07/2000,17.91402,18.09775,17.86809,18.03529,4544200,4.17562
4/07/2000,18.07939,18.09775,17.63843,17.81296,7199500,4.12414
5/07/2000,17.59249,17.76703,17.40876,17.43541,7505900,4.03673
6/07/2000,16.97699,17.36283,16.97699,17.3169,7205000,4.00929
7/07/2000,17.43815,17.63843,17.3959,17.3959,4251600,4.02758
10/07/2000,17.54656,17.54656,17.19746,17.3169,5297500,4.00929
11/07/2000,17.4547,17.81296,17.4547,17.68436,6081500,4.09437
12/07/2000,18.00588,18.23557,17.91402,17.9774,12587300,4.16221
13/07/2000,17.96914,18.24474,17.77622,17.94527,7654100,4.15477
14/07/2000,17.87728,17.87728,17.54656,17.63843,6284400,4.08373
17/07/2000,17.67517,17.68436,17.22502,17.40141,5073600,4.02886
18/07/2000,17.34445,17.34445,17.0321,17.15795,13602600,3.97249
19/07/2000,17.14602,17.32607,17.0321,17.23421,5750000,3.99014
20/07/2000,17.13315,17.3169,17.13315,17.27095,4107300,3.99865
21/07/2000,17.36283,17.71191,17.36283,17.64669,7990200,4.08564
24/07/2000,17.64762,17.87728,17.63843,17.63843,4955200,4.08373
25/07/2000,17.59708,17.68436,17.28014,17.32607,6090100,4.01141
26/07/2000,17.35823,17.54656,17.32607,17.46112,4774900,4.04268
27/07/2000,17.34445,17.4547,16.99535,16.99535,7239000,3.93484
28/07/2000,17.04129,17.17908,16.71976,16.81163,15041500,3.89231
31/07/2000,16.70138,16.80243,16.60032,16.76569,4277600,3.88167
1/08/2000,16.79876,16.88511,16.53603,16.64626,5953800,3.85402
2/08/2000,16.66555,16.7565,16.5452,16.62789,6374300,3.84977
3/08/2000,16.6187,16.76569,16.59113,16.71976,4168100,3.87104
4/08/2000,16.78405,16.90349,16.66464,16.77579,6672200,3.88401
7/08/2000,16.90349,17.22502,16.90349,17.22502,4430300,3.98802
8/08/2000,17.31872,17.31872,16.83918,17.0321,6285400,3.94335
9/08/2000,16.98709,17.22502,16.83918,17.17357,5302000,3.97611
10/08/2000,17.17908,17.40876,17.15153,17.38212,5071700,4.02439
11/08/2000,17.4547,17.73029,17.4547,17.60168,8732100,4.07522
14/08/2000,17.68436,17.74867,17.63843,17.68527,3407400,4.09458
15/08/2000,17.8148,17.86809,17.63843,17.63843,5325200,4.08373
16/08/2000,17.59249,17.8589,17.54656,17.68436,5074200,4.09437
17/08/2000,17.7358,17.86809,17.69355,17.78358,4438000,4.11734
18/08/2000,17.88554,17.94159,17.74867,17.84973,5363000,4.13265
21/08/2000,17.71191,18.02427,17.62005,18.00588,5882500,4.16881
22/08/2000,17.77622,17.91402,17.68436,17.77622,10300900,4.11563
23/08/2000,17.76703,18.02427,17.76703,17.93331,6802900,4.152
24/08/2000,18.09775,18.35498,18.09775,18.32743,10200600,4.24325
25/08/2000,18.2815,18.48361,18.18963,18.24474,17915900,4.22411
28/08/2000,18.25393,18.2815,17.92321,18.00588,5580000,4.16881
29/08/2000,17.96914,18.20799,17.95995,18.08949,3273800,4.18816
30/08/2000,18.00588,18.00588,17.63843,17.77164,6902400,4.11457
31/08/2000,17.60627,17.60627,17.39957,17.42438,6748300,4.03417
1/09/2000,17.54563,17.59249,17.23421,17.49144,7743000,4.0497
4/09/2000,17.55208,17.73948,17.50982,17.68068,6986100,4.09351
5/09/2000,17.75326,17.7946,17.69355,17.70274,2100100,4.09862
6/09/2000,17.73948,17.84054,17.69355,17.78541,6924000,4.11776
7/09/2000,17.82215,18.08858,17.82215,18.01508,8217400,4.17093
8/09/2000,18.18963,18.57547,18.1437,18.52954,12902500,4.29005
11/09/2000,18.37336,18.52035,18.37336,18.46523,6930600,4.27516
12/09/2000,18.64896,19.12666,18.64896,19.05318,12389400,4.41128
13/09/2000,18.92455,19.0348,18.71327,19.02561,10255600,4.4049
14/09/2000,19.12575,19.41145,19.1083,19.3646,11608100,4.48338
15/09/2000,19.29203,19.36551,18.74082,18.75001,8912700,4.34109
18/09/2000,18.65815,18.99806,18.65815,18.82352,4545600,4.35811
19/09/2000,18.78675,19.20935,18.74082,19.18178,7759000,4.44106
20/09/2000,19.06237,19.29203,19.01644,19.26906,4479100,4.46126
21/09/2000,19.11381,19.27365,19.06237,19.15423,7128400,4.43468
22/09/2000,18.83269,18.84188,18.35498,18.42665,9527400,4.26622
25/09/2000,18.479,18.65815,18.37336,18.37336,7216400,4.25389
26/09/2000,18.22728,18.22728,17.91402,17.95995,9514500,4.15817
27/09/2000,17.82215,17.91402,17.73029,17.91402,7799700,4.14754
28/09/2000,18.00588,18.09775,17.84054,17.91402,6127800,4.14754
29/09/2000,17.91402,17.91402,17.48225,17.59249,61625400,4.0731
2/10/2000,17.59249,17.73029,17.40876,17.63843,3459600,4.08373
3/10/2000,17.59249,18.02427,17.5833,17.98569,7443500,4.16413
4/10/2000,18.04356,18.23557,18.00588,18.18963,9083600,4.21135
5/10/2000,18.1979,18.26312,18.00588,18.04449,6506900,4.17774
6/10/2000,17.91402,17.91402,17.66598,17.71191,5845000,4.10074
9/10/2000,17.63843,17.82215,17.62005,17.70274,8765700,4.09862
10/10/2000,17.73029,17.91402,17.73029,17.91402,7447800,4.14754
11/10/2000,18.01324,18.18963,18.01324,18.05182,6043900,4.17944
12/10/2000,17.95995,18.01508,17.8589,17.91402,4764200,4.14754
13/10/2000,17.91402,17.95995,17.73029,17.76703,4050000,4.11351
16/10/2000,17.9177,17.9177,17.54656,17.59524,5538000,4.07373
17/10/2000,17.51166,17.51166,17.23421,17.44551,5908200,4.03907
18/10/2000,17.3169,17.33526,16.9678,16.99535,11343400,3.93484
19/10/2000,16.94023,16.94023,16.64626,16.71976,10152300,3.87104
20/10/2000,16.91268,17.04129,16.85756,16.94942,8711600,3.92421
23/10/2000,17.24044,17.47405,17.19373,17.28716,5496800,4.0024
24/10/2000,17.35257,17.5675,17.34323,17.52731,6081700,4.05801
25/10/2000,17.55067,17.55067,17.11896,17.19373,8440700,3.98077
26/10/2000,17.19373,17.28716,17.10027,17.17503,6382500,3.97644
27/10/2000,17.22737,17.46471,17.22737,17.36192,10692600,4.01971
30/10/2000,17.38061,17.51143,17.19373,17.25913,5058500,3.99592
31/10/2000,17.44509,17.5021,17.38061,17.47405,7880500,4.04567
1/11/2000,17.66094,17.75439,17.5675,17.66094,11441400,4.08894
2/11/2000,17.66934,17.93193,17.61422,17.9039,9580000,4.14519
3/11/2000,17.84783,17.95997,17.70768,17.89923,8064200,4.14411
6/11/2000,18.03472,18.03472,17.93193,17.93659,5032500,4.15276
7/11/2000,17.9039,17.988,17.81045,17.81045,4965700,4.12356
8/11/2000,17.77213,17.77308,17.47405,17.52079,9546700,4.05649
9/11/2000,17.52079,17.70768,17.43669,17.5862,7575600,4.07164
10/11/2000,17.58151,17.75439,17.5675,17.75439,6245000,4.11058
13/11/2000,17.5675,17.59553,17.44602,17.51143,10742400,4.33271
14/11/2000,17.50022,17.51143,17.12832,17.24044,7342400,4.26566
15/11/2000,17.38061,17.45536,17.1657,17.2582,7449700,4.27005
16/11/2000,17.17503,17.42733,17.12832,17.36192,5691700,4.29571
17/11/2000,17.3339,17.47405,17.18437,17.47405,5757700,4.32346
20/11/2000,17.49274,17.72635,17.49274,17.72635,5068800,4.38588
21/11/2000,17.64225,17.77308,17.61422,17.7002,7447800,4.37941
22/11/2000,17.66934,17.75439,17.57684,17.5862,5069100,4.3512
23/11/2000,17.55348,17.55348,17.39931,17.47405,5053800,4.32346
24/11/2000,17.5675,17.89454,17.5675,17.70768,9470600,4.38126
27/11/2000,17.7712,18.27768,17.7712,18.2403,8089000,4.51304
28/11/2000,18.45521,18.51128,18.00669,18.08143,6650700,4.47374
29/11/2000,17.94128,18.20291,17.84783,18.00481,4238000,4.45478
30/11/2000,18.00295,18.2216,17.99733,18.19358,7651700,4.50148
1/12/2000,18.08143,18.17489,18.01602,18.08143,4680500,4.47374
4/12/2000,18.05529,18.05529,17.84783,17.92352,3939500,4.43467
5/12/2000,17.988,18.0721,17.92259,18.05341,7377000,4.4668
6/12/2000,18.13565,18.17489,17.83849,17.94128,5498500,4.43906
7/12/2000,17.84783,18.09826,17.80111,18.09826,7977800,4.4779
8/12/2000,18.14686,18.45521,18.14686,18.38047,6430800,4.54772
11/12/2000,18.32439,18.58605,18.26832,18.558,4576800,4.59165
12/12/2000,18.54867,18.57669,18.45521,18.54867,4758100,4.58934
13/12/2000,18.49821,18.50195,18.23096,18.27394,7546900,4.52137
14/12/2000,18.17489,18.17489,17.82914,17.87214,7350200,4.42195
15/12/2000,17.84783,17.84783,17.61422,17.7899,6894400,4.4016
18/12/2000,17.57217,17.70768,17.52079,17.6516,5819400,4.36739
19/12/2000,17.75625,17.77308,17.5862,17.66094,6411900,4.3697
20/12/2000,17.64225,17.67963,17.49274,17.64132,6281900,4.36484
21/12/2000,17.38061,17.60489,17.3339,17.47405,5554300,4.32346
