Date,Open,High,Low,Close,Volume,Adj Close
4/01/2000,8.29,8.29,8.15,8.16,6927300,1.7626
5/01/2000,8,8.07,7.93,8,8107000,1.72804
6/01/2000,8.05,8.11,7.95,7.95,8177200,1.71724
7/01/2000,7.935,7.98,7.8,7.84,11495700,1.69348
10/01/2000,8,8,7.93,7.95,5123800,1.71724
11/01/2000,8.05,8.06,7.83,7.84,10508700,1.69348
12/01/2000,7.83,7.9,7.78,7.81,8669500,1.687
13/01/2000,7.8,7.81,7.73,7.75,10466100,1.67404
14/01/2000,7.756,7.85,7.75,7.811,11628500,1.68722
17/01/2000,7.91,7.96,7.87,7.87,6829500,1.69996
18/01/2000,7.87,8.05,7.85,8.05,7351800,1.73884
19/01/2000,8.05,8.09,7.95,7.974,4247500,1.72243
20/01/2000,8.03,8.11,8.02,8.08,6392900,1.74532
21/01/2000,8,8.07,7.98,8.03,7708400,1.73452
24/01/2000,8.057,8.06,7.89,7.9,4606400,1.70644
25/01/2000,7.88,7.89,7.81,7.88,5255200,1.70212
26/01/2000,7.88,7.88,7.88,7.88,0,1.70212
27/01/2000,7.88,8,7.88,7.95,4778000,1.71724
28/01/2000,7.92,7.97,7.88,7.88,8221600,1.70212
31/01/2000,7.8,7.8,7.7,7.8,12515100,1.68484
1/02/2000,7.8,7.8,7.65,7.68,9302200,1.65892
2/02/2000,7.68,7.7,7.51,7.589,11364300,1.63926
3/02/2000,7.3,7.45,7.24,7.4,23510500,1.59844
4/02/2000,7.406,7.52,7.35,7.35,8524000,1.58764
7/02/2000,7.394,7.42,7.24,7.28,10524300,1.57252
8/02/2000,7.25,7.28,7.15,7.24,7128600,1.56388
9/02/2000,7.25,7.32,7.17,7.18,11999400,1.55092
10/02/2000,7.18,7.45,7.14,7.42,18733100,1.60276
11/02/2000,7.71,7.91,7.6,7.89,31372000,1.70428
14/02/2000,7.8,7.92,7.77,7.86,16406500,1.6978
15/02/2000,7.968,7.968,7.73,7.841,9440700,1.6937
16/02/2000,7.8,7.82,7.53,7.6,8530600,1.64164
17/02/2000,7.532,7.66,7.48,7.6,8788500,1.64164
18/02/2000,7.6,7.74,7.531,7.531,7076700,1.62674
21/02/2000,7.407,7.53,7.407,7.44,7058500,1.60708
22/02/2000,7.4,7.45,7.36,7.369,8482000,1.59174
23/02/2000,7.36,7.58,7.36,7.53,5847800,1.62652
24/02/2000,7.65,7.66,7.54,7.59,9065900,1.63948
25/02/2000,7.57,7.73,7.48,7.67,12798400,1.65676
28/02/2000,7.61,7.71,7.58,7.6,6347800,1.64164
29/02/2000,7.679,7.69,7.6,7.642,11696500,1.65071
1/03/2000,7.65,7.72,7.6,7.686,7832800,1.66022
2/03/2000,7.72,7.73,7.54,7.63,14427500,1.64812
3/03/2000,7.8,7.94,7.7,7.85,24766000,1.69564
6/03/2000,8.2,8.54,8.16,8.533,32777100,1.84317
7/03/2000,8.63,8.78,8.56,8.71,44709300,1.88141
8/03/2000,8.5,8.58,8.15,8.209,15298700,1.77319
9/03/2000,8,8.15,7.88,8.078,17111500,1.74489
10/03/2000,8.15,8.2,8,8,11947700,1.72804
13/03/2000,7.939,7.99,7.806,7.806,7119100,1.68614
14/03/2000,7.73,7.8,7.7,7.74,8526700,1.67188
15/03/2000,7.58,7.68,7.56,7.58,14082000,1.63732
16/03/2000,7.6,7.87,7.6,7.84,7690500,1.69348
17/03/2000,8,8,7.762,7.762,11792200,1.67663
20/03/2000,7.7,7.74,7.62,7.69,9301700,1.68206
21/03/2000,7.75,7.93,7.75,7.84,7270100,1.71487
22/03/2000,7.889,7.96,7.78,7.879,7770400,1.7234
23/03/2000,7.86,7.91,7.75,7.8,7004500,1.70612
24/03/2000,7.8,7.84,7.69,7.74,5845900,1.69299
27/03/2000,7.678,7.75,7.63,7.65,14144800,1.67331
28/03/2000,7.6,7.793,7.6,7.793,11677600,1.70459
29/03/2000,7.73,7.88,7.73,7.85,11424900,1.71705
30/03/2000,7.9,7.91,7.75,7.78,9732700,1.70174
31/03/2000,7.73,7.75,7.6,7.6,23447400,1.66237
3/04/2000,7.706,7.774,7.65,7.774,7873000,1.70043
4/04/2000,7.7,7.7,7.6,7.68,8705200,1.67987
5/04/2000,7.56,7.63,7.52,7.61,9906500,1.66456
6/04/2000,7.62,7.64,7.49,7.53,9033800,1.64706
7/04/2000,7.593,7.67,7.56,7.67,8327400,1.67768
10/04/2000,7.56,7.64,7.55,7.62,7638400,1.66675
11/04/2000,7.519,7.6,7.5,7.52,6051600,1.64487
12/04/2000,7.49,7.73,7.48,7.64,4221700,1.67112
13/04/2000,7.5,7.5,7.37,7.41,19566600,1.62081
14/04/2000,7.45,7.5,7.36,7.49,8909200,1.63831
17/04/2000,6.95,7.24,6.95,7.12,18130100,1.55738
18/04/2000,7.4,7.4,7.25,7.35,12087300,1.60769
19/04/2000,7.367,7.56,7.367,7.55,12623300,1.65144
20/04/2000,7.5,7.58,7.46,7.52,6235700,1.64487
21/04/2000,7.52,7.52,7.52,7.52,0,1.64487
24/04/2000,7.52,7.52,7.52,7.52,0,1.64487
25/04/2000,7.52,7.52,7.52,7.52,0,1.64487
