Train_ID,SALARY,POSITION,TEAM,Age,Games,Minutes,PER,TS,ORB,DRB,TRB,AST,STL,BLK,TOV,USG,ORtg,DRtg,OWS,DWS,WS
1,2.48953,PF,Houston Rockets,22,76,2078,19.1,0.577,9.2,18.5,14.1,7,1.3,3.5,8.2,18.3,119,105,4.6,2.7,7.3
2,2.433333,PG,Utah Jazz,24,73,1490,13.2,0.51,1.6,10.7,6.2,28.8,1.7,0.1,14.3,19,105,109,1.2,1.2,2.3
3,20.158622,SF,Oklahoma City Thunder,25,81,3122,29.8,0.635,2.2,18.6,10.8,26.7,1.7,1.5,12.2,33,123,104,14.8,4.4,19.2
4,12.404495,PG,Houston Rockets,26,62,2222,19,0.554,1.9,8.5,5.2,38.2,2.2,0.3,16.9,22.7,113,110,4.8,1.5,6.3
5,1.5,PG,Brooklyn Nets,21,48,489,8.3,0.446,2.6,7.3,5,20.4,2.7,0.2,20.9,17.4,90,110,-0.4,0.3,-0.1
6,2.85494,PF,Miami Heat,33,46,653,10.5,0.523,8.4,24.7,16.8,2.9,0.9,2,12.7,13.9,104,105,0.3,0.8,1.1
7,1.25244,SF,Detroit Pistons,22,43,395,6.7,0.46,3.2,11.7,7.6,4.3,1.1,0.2,9.4,15.4,93,108,-0.2,0.3,0.2
8,6.3,PG,Brooklyn Nets,30,80,2252,11.5,0.498,1.1,10.3,5.6,22.7,1.3,0.8,14.8,17.8,102,110,0.9,1.4,2.3
9,15.514031,SG,New Orleans Pelicans,25,64,2057,14.9,0.54,1.7,7.7,4.7,16.6,1.9,0.5,12.8,23.2,105,113,2,0.5,2.5
10,12,PG,Toronto Raptors,27,79,2862,20.1,0.567,3.6,11.5,7.5,34.7,2.2,0.4,13.4,22.9,118,106,8.4,3.3,11.7
11,3.553917,SF,Toronto Raptors,22,81,2159,12,0.553,2.3,11.3,6.8,6.1,1.5,1,10,18.6,107,107,2,2.2,4.2
12,6.27,SG,Detroit Pistons,26,77,2556,14.7,0.601,1.3,6.9,4.1,8.5,2.1,0.1,9.9,19.1,112,113,3.8,0.7,4.5
13,4.44,PF,Washington Wizards,28,69,1376,18.2,0.552,10.2,24,16.9,8.2,1.2,3.4,10.9,19,113,105,2.3,1.8,4.1
14,13,C,Washington Wizards,31,53,1560,16.6,0.53,4.7,17.3,10.9,16.3,2.1,2.5,14.1,24,102,103,0.8,2.4,3.2
15,5.746479,SG,Atlanta Hawks,32,71,2408,13.5,0.653,1.1,12.4,6.8,13.3,1.5,0.8,13.6,14.2,118,108,3.9,2,5.9
16,15.85195,PG,Washington Wizards,23,82,2980,19.5,0.524,1.5,11.7,6.5,40.5,2.6,1.1,16.3,27.4,106,104,4,4,7.9
17,2.16516,C,Boston Celtics,22,70,1400,15.2,0.546,11,18.8,14.8,13.1,1.3,1.5,16,21,107,107,1.5,1.4,2.9
18,1.185784,SF,Brooklyn Nets,26,54,768,9.1,0.466,3.2,18.2,10.5,3.7,1.1,2.8,10.1,17.9,92,107,-0.4,0.8,0.3
19,4.236287,PG,Portland Trail Blazers,23,82,2937,18.6,0.568,1.3,9.2,5.3,25.1,1.1,0.5,11.5,25,116,110,7.8,1.8,9.6
20,9.75625,C,Atlanta Hawks,29,59,1271,16.5,0.572,11.4,20.5,16.1,10.1,1.2,1.8,15.1,17.7,114,102,2.3,2.1,4.3
21,2.380593,PF,Orlando Magic,24,76,1174,9.9,0.489,5.1,19.5,12.3,3.5,0.8,1.5,10.3,19.3,95,108,-0.4,1,0.6
22,22.359364,C,Houston Rockets,28,71,2396,21.3,0.6,11.4,27.9,20.1,9.3,1.2,4,17.5,24,109,101,4,4.1,8
23,7.5,C,San Antonio Spurs,31,79,1974,14.1,0.578,4.4,13.8,9.3,16.3,1.1,1.2,16.3,17,109,104,2.3,2.6,4.9
