Id,price,experiences_offered,host_response_time,host_response_rate,host_is_superhost,host_listings_count,host_identity_verified,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,number_of_reviews,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,reviews_per_month
1000,90,none,within an hour,1,f,11,f,51.5473491,-0.219333675,Hostel,Private room,4,4,1,4,Real Bed,,,4,0,1,1125,6,80,9,8,9,9,9,10,t,flexible,f,f,0.76
1001,120,none,N/A,N/A,f,1,f,51.55082575,-0.20827956,Apartment,Entire home/apt,4,2,2,2,Real Bed,,,1,0,1,1125,0,,,,,,,,t,flexible,f,f,
1002,100,none,N/A,N/A,t,1,f,51.48969786,-0.194910234,Apartment,Entire home/apt,2,1,0,0,Real Bed,500,25,1,9,2,1125,7,97,10,10,10,10,10,10,f,moderate,f,f,1.15
1003,89,none,within an hour,1,f,18,f,51.51871804,-0.125573992,Apartment,Private room,3,1,0,2,Real Bed,80,29,1,15,1,1125,45,90,9,9,10,10,10,9,f,strict_14_with_grace_period,f,f,2.26
1004,300,none,within a day,0.88,f,25,t,51.51549908,-0.154633427,Condominium,Entire home/apt,5,2,3,3,Real Bed,300,150,1,0,7,1125,0,,,,,,,,f,flexible,f,f,
1005,90,none,within an hour,1,f,7,t,51.48986936,-0.228388635,Apartment,Entire home/apt,6,1.5,3,3,Real Bed,200,,1,10,3,1124,0,,,,,,,,t,strict_14_with_grace_period,f,f,
1006,40,none,within an hour,1,f,2,t,51.52493685,-0.071450681,Apartment,Private room,1,1,1,1,Real Bed,0,10,1,0,2,1125,0,,,,,,,,t,flexible,f,f,
1007,327,none,within an hour,0.96,f,1277,f,51.5507646,-0.19613945,House,Entire home/apt,8,3.5,4,4,Real Bed,495,300,8,0,3,1125,1,80,10,10,10,10,8,6,t,strict_14_with_grace_period,f,f,0.05
1008,90,none,within a day,1,f,1,t,51.48002424,-0.182333056,Apartment,Entire home/apt,2,1,1,1,Real Bed,200,35,1,0,2,14,43,96,10,10,9,10,10,10,f,strict_14_with_grace_period,f,f,0.96
1009,65,none,N/A,N/A,f,1,f,51.54079085,-0.144307603,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,2,9,0,,,,,,,,f,flexible,f,f,
1010,200,none,within an hour,1,t,12,f,51.5550998,-0.177819757,Apartment,Entire home/apt,3,2,2,2,Real Bed,300,0,1,0,1,30,23,100,10,10,10,10,10,9,f,flexible,f,f,5.85
1011,300,family,within a few hours,1,f,2,t,51.46249731,-0.157090679,House,Entire home/apt,9,3,5,5,Real Bed,0,75,6,20,5,10,6,87,9,8,10,10,9,9,f,moderate,f,f,0.11
1012,145,family,N/A,N/A,f,1,t,51.47231191,-0.181864379,Apartment,Entire home/apt,5,1,1,3,Real Bed,100,50,4,0,7,30,16,88,9,9,9,10,10,9,f,strict_14_with_grace_period,f,f,0.26
1013,357,none,within an hour,0.96,f,1277,f,51.48245412,-0.179444014,House,Entire home/apt,6,3,3,4,Real Bed,495,225,6,0,1,1125,0,,,,,,,,t,strict_14_with_grace_period,f,f,
1014,139,none,N/A,N/A,f,1,f,51.47726271,0.024591103,House,Entire home/apt,2,1,1,1,Real Bed,,,1,0,4,1125,1,100,10,10,10,10,6,10,t,strict_14_with_grace_period,f,f,0.17
1015,150,none,within an hour,1,f,1,f,51.56288729,-0.0576587,Apartment,Entire home/apt,4,1.5,2,2,Real Bed,85,84,2,15,2,1125,4,90,10,9,9,10,10,10,f,moderate,f,f,3.43
1016,49,social,within an hour,1,t,2,t,51.53774384,-0.077644461,Condominium,Private room,2,1.5,1,0,Real Bed,100,5,1,5,4,100,92,98,10,10,10,10,10,10,t,strict_14_with_grace_period,t,t,1.41
1017,46,none,within an hour,0.98,f,3,t,51.54269119,-0.052152474,Apartment,Private room,4,1,2,2,Real Bed,0,15,1,0,1,1125,0,,,,,,,,t,moderate,f,f,
1018,45,none,N/A,N/A,t,1,f,51.46577898,-0.155444701,Apartment,Private room,2,1.5,1,1,Real Bed,,15,1,0,3,1125,61,97,10,10,10,10,9,10,f,strict_14_with_grace_period,f,f,1.82
1019,85,none,within an hour,1,f,1,f,51.53610669,-0.095690581,Apartment,Entire home/apt,2,1,1,1,Real Bed,85,64,2,15,2,28,12,93,10,10,10,10,10,10,f,strict_14_with_grace_period,f,f,1.11
1020,60,none,within an hour,1,f,1,t,51.55124497,-0.194037473,Apartment,Private room,2,1,1,1,Real Bed,,6,1,8,1,14,19,99,10,10,10,10,10,10,f,moderate,f,f,3.08
1021,150,none,a few days or more,0,f,1,f,51.49254213,0.019292544,Apartment,Private room,2,1,1,1,Real Bed,,,1,0,1,365,0,,,,,,,,t,flexible,f,f,
1022,165,none,within an hour,0.89,f,7,f,51.49317779,-0.190361291,Boutique hotel,Private room,6,1,1,3,Real Bed,,,1,0,1,1125,1,40,6,2,10,8,8,2,t,super_strict_60,f,f,0.88
1023,99,none,within an hour,1,f,3,f,51.49461848,-0.193274337,Apartment,Entire home/apt,2,1,1,1,Real Bed,80,20,1,0,2,1125,37,94,10,10,10,9,10,9,t,strict_14_with_grace_period,f,f,2.04
1024,77,none,within an hour,0.9,f,1,f,51.46974873,-0.110593296,Condominium,Entire home/apt,2,1,1,1,Real Bed,79,0,2,30,1,1,29,94,10,9,10,10,9,9,t,strict_14_with_grace_period,f,f,3.54
1025,195,none,within a day,1,f,1,f,51.54058439,-0.200842182,Townhouse,Entire home/apt,6,2,3,6,Real Bed,0,120,1,0,3,1125,14,94,10,10,10,10,9,9,f,strict_14_with_grace_period,f,f,0.65
1026,80,none,within a few hours,1,f,1,t,51.55268327,-0.080397621,Apartment,Entire home/apt,3,1,1,2,Real Bed,0,20,1,0,1,1125,0,,,,,,,,f,flexible,f,f,
