COMMENT_ID,DATE,CONTENT,CLASS
z12auh0b1vajetih404cfbl5uyfehpi4kb4,26:00.0,Since when has Katy Perry had her own YouTube channel?﻿,0
z124fn5ahqnfdbxtg23ihlijyqjqtr1lk,08:10.0,Sub my channel!﻿,1
z13zj535dsqgcfyot04cixgics3zdrspsqw0k,57:52.9,ILove shakira ﻿,0
z12pcbng1m2shlgkp23ki1izwkreylid3,15:09.0,"How did THIS Video in all of YouTube get this many views and likes? Why  Gangnam style? I don't have a problem with it, i just don't understand the  phenomena behind it, it's just like any other random music video out  there. ﻿",0
z130tpc5mwbqtxkox04cipervsaysn0w22o,47:52.0,Katy Perry - Roar (Official): http://youtu.be/CevxZvSJLk8﻿,0
z13zyrkanyf2y3cxw04chznrcxmefpkpf3s,42:34.0,Where did she find all that make up in a freakin jungle?!﻿,0
z12kxfdagp2hubhd122ddnaz3z2iupfw404,22:53.4,Check out this video on YouTube:﻿,1
z13iuzxwamqhzppyp04cdz1amyzpfdnpdns0k,15:54.0,Why dafuq is a Korean song so big in the USA. Does that mean we support  Koreans? Last time I checked they wanted to bomb us. ﻿,0
z12rsvvxiwi0j5hat04ccbjg4kjtihhox5o,29:03.6,5 years soon!﻿,0
z13qdpxqiziasxzsv234hhqoeretuhabc04,52:03.0,this video is great .....!!! I love this........and like much katy perry﻿,0
z12afj2p2pniy1idm23wclt4ox2wujzj004,08:10.8,fave song﻿,0
z12jjrfyukjlw5wyl04cddbo5pysslphbqs0k,01:01.5,epic﻿,0
z13bgdvyluihfv11i22rgxwhuvabzz1os04,49:00.0,I'm only checking the views﻿,0
z12iz3brhtvcyt3ze04cjzpg0ljzft3qx0g,45:20.4,awesome﻿,0
z134htyq0xbgvvowg04cehpiox35d5chu1s,56:07.4,5 years ago damn ﻿,0
z13nhjbxcwe4stwwz04cfpfoqrzghr540ns0k,03:17.0,selfie alert﻿,0
_2viQ_Qnc69swE48B0wgwJijgdZ2KbSVUK5TSpqoYDg,01:56.7,subscribe to my pagee please.,1
z12hctzi5nvbxhcqu04civkgsujfeffxkvs0k,58:38.3,Party rock due and duel﻿,0
z12yg3dp5kf0hnbdj23aftm4iovygt32c,24:21.8,OMG that looks just like a piece of the mirror of harry potter and the deathly hallows.<br />Either that house. (sirius black)﻿,0
z13qgx0yzwf1uj1xm04ccbkhjnrsgz0i41g,38:42.0,please subscribe i am a new youtuber and need help please subscribe and i  will subscribe back :D hoppa HOPPA GaNgAm StYlE﻿,1
z13qyltzfvzwir5dh22xv51aczbscpqxm04,19:09.2,very good song:)﻿,0
z133gjpr2ybqthyjt04cjjhrtwucsxw4tpk0k,11:40.0,I am now going to voyage to the first comment...      Tell my family I loved them. 😢﻿,0
z12oep2i2ybiyn0sy23tc1uptrmkhxbse,59:30.0,I found out this song now﻿,0
z130g5myrnncvnns3225s5jqjkqwi5de2,24:46.4,I love this song and expect the World Cup .﻿,0
z12pdlwxuwmktfmoq04civd5ypmzv5np0os0k,39:49.0,OMG I LOVE YOU KATY PARRY YOUR SONGS ROCK!!!!!!!!!!!!!!!!! THATS A TOTAL  SUBSCRIBE﻿,0
z124elbgazqmuhvs5230ut14uta5irenh,32:14.0,"how does this video have 2,127,322,484 views if there are only 7 million  people on earth?﻿",0
z13ot51yusa1htugp04cffzh0knkz55ae4w,00:30.4,Its funny because I listen to rock and death metal. But i like this.﻿,0
z12whdyrktazxzbls22jjjaz5tvohh0nz,08:14.0,Οh my god ... Roar is the most liked video at Vevo .. while 2 months ago  was Justin's Baby.. congrats Katy . Applause &lt;3 ﻿,0
