,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
0,80,RL ,76.0,9880,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,SLvl,6,6,1977,1977,Gable,CompShg,Plywood,Plywood,None,0.0,1,2,CBlock,3,3.0,3,5,522,1,0,574,1096,GasA,2,Y,SBrkr,1118,0,0,1118,1.0,0.0,1,0,3,1,1,6,Typ,1,,Attchd,1977.0,3,1.0,358.0,3.0,3.0,Y,203,0,0,0,0,576,2,4,NA,0,7,2008,WD ,Normal,171000
1,20,RL,68.62270742358079,21000,Pave,NA,Reg,Bnk,AllPub,Corner,Gtl,Crawfor,Norm,Norm,1Fam,1Story,6,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,184.0,1,3,CBlock,4,3.0,2,5,35,3,869,905,1809,GasA,2,Y,SBrkr,2259,0,0,2259,1.0,0.0,2,0,3,1,2,7,Typ,2,4.0,Basment,1953.0,1,2.0,450.0,3.0,3.0,Y,166,120,192,0,0,0,0,3,NA,0,10,2007,COD,Abnorml,217000
2,60,RL,313.0,63887,Pave,NA,IR3,Bnk,AllPub,Corner,Gtl,Edwards,Feedr,Norm,1Fam,2Story,10,5,2008,2008,Hip,ClyTile,Stucco,Stucco,Stone,796.0,3,2,PConc,5,3.0,4,6,5644,1,0,466,6110,GasA,4,Y,SBrkr,4692,950,0,5642,2.0,0.0,2,1,3,1,3,12,Typ,3,4.0,Attchd,2008.0,3,2.0,1418.0,3.0,3.0,Y,214,292,0,0,0,480,2,0,NA,0,1,2008,New,Partial,160000
3,20,FV,100.0,11824,Pave,NA,IR1,Lvl,AllPub,Corner,Gtl,Somerst,Norm,Norm,1Fam,1Story,8,5,2006,2006,Gable,CompShg,VinylSd,VinylSd,BrkFace,298.0,2,2,PConc,4,3.0,3,1,0,1,0,1685,1685,GasA,4,Y,SBrkr,1685,0,0,1685,0.0,0.0,2,0,2,1,2,5,Typ,1,4.0,Attchd,2006.0,3,3.0,658.0,3.0,3.0,Y,112,63,0,0,0,0,0,0,NA,0,4,2007,WD ,Normal,253000
4,20,RL,72.0,10011,Pave,NA,IR1,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,5,6,1957,1996,Gable,CompShg,HdBoard,HdBoard,BrkFace,64.0,1,2,CBlock,3,3.0,1,4,360,1,0,710,1070,GasA,2,Y,SBrkr,1236,0,0,1236,0.0,1.0,1,0,2,1,2,6,Min1,1,2.0,Attchd,1957.0,1,1.0,447.0,3.0,3.0,Y,0,0,0,0,0,0,0,3,NA,0,5,2006,WD ,Normal,134450
5,20,RL,70.0,7420,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,1962,1962,Hip,CompShg,MetalSd,MetalSd,None,0.0,1,2,CBlock,3,3.0,1,3,417,1,0,640,1057,GasA,2,Y,SBrkr,1057,0,0,1057,0.0,0.0,1,0,3,1,1,6,Typ,0,0.0,Detchd,1977.0,3,2.0,576.0,3.0,3.0,Y,0,0,0,0,0,0,0,0,NA,0,4,2007,WD ,Normal,132000
6,20,FV,75.0,9000,Pave,NA,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,1Story,7,5,2006,2007,Gable,CompShg,VinylSd,VinylSd,None,0.0,2,2,PConc,4,3.0,1,1,0,1,0,1335,1335,GasA,4,Y,SBrkr,1335,0,0,1335,0.0,0.0,2,0,3,1,2,6,Typ,0,0.0,Attchd,2007.0,2,2.0,575.0,3.0,3.0,Y,0,210,0,0,0,0,0,0,NA,0,6,2007,New,Partial,210400
7,20,RL,129.0,16737,Pave,NA,Reg,Lvl,AllPub,FR3,Gtl,NridgHt,Norm,Norm,1Fam,1Story,9,5,2004,2005,Hip,CompShg,VinylSd,VinylSd,BrkFace,66.0,2,2,PConc,5,3.0,3,6,1447,1,0,533,1980,GasA,4,Y,SBrkr,1980,0,0,1980,1.0,0.0,2,0,3,1,3,8,Typ,1,4.0,Attchd,2004.0,3,3.0,770.0,3.0,3.0,Y,194,45,0,0,0,0,0,0,NA,0,9,2006,WD ,Normal,315000
8,50,RM,68.62270742358079,10320,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Norm,Norm,1Fam,1.5Fin,5,6,1915,1978,Gable,CompShg,HdBoard,HdBoard,None,0.0,1,1,BrkTil,3,2.0,1,1,0,1,0,880,880,GasA,3,Y,SBrkr,880,428,0,1308,0.0,0.0,2,0,2,1,1,6,Typ,0,0.0,Detchd,1950.0,1,2.0,400.0,2.0,2.0,Y,0,0,117,0,0,0,0,0,NA,0,4,2008,WD ,Normal,120000
9,80,RL,80.0,9600,Pave,NA,Reg,Low,AllPub,FR2,Mod,Veenker,Feedr,Norm,1Fam,SLvl,8,5,1976,1976,Gable,CompShg,Plywood,Plywood,BrkFace,200.0,2,3,CBlock,3,3.0,1,1,0,1,0,392,392,GasA,4,Y,SBrkr,1487,1012,0,2499,0.0,0.0,2,1,4,1,1,5,Typ,1,4.0,Attchd,1976.0,1,2.0,527.0,3.0,3.0,Y,0,64,0,0,0,0,0,0,NA,0,1,2009,WD ,Abnorml,180500
