Odometer,Price
37.4,16
44.8,15.2
45.8,15
30.9,17.4
31.7,17.4
34,16.1
45.9,15.7
19.1,17.5
40.1,16.6
40.2,16.2
32.4,16.8
43.5,16
32.7,17.4
34.5,17.4
37.7,16
41.4,15.9
24.5,17.6
35.8,16.5
48.6,16
24.2,17.1
38.8,15.5
45.6,15.7
28.7,17.3
38.2,16
36.7,15.6
32.5,16.6
39.1,15.2
45.3,15.3
34.4,16.2
38.4,16.6
32.2,16.5
26.6,17.6
33.5,15.9
41.8,15.7
36.7,16.1
37.5,15.9
25.6,17.5
40.1,16.4
31,16.3
42.2,15.6
37.4,15.3
34.4,17.1
30.6,17.4
42.5,15.6
38.4,15.5
40.5,15.4
26,17.3
46.3,14.9
34.8,15.7
27.4,17.3
47.9,15.5
35.6,16.5
42.5,15.8
43.8,15.7
43.5,15.4
34.3,15.8
41.4,15.9
35,16.2
41.4,15.3
30.2,17
47.2,15.4
24.5,17.3
21.2,17.7
35.5,16.6
28,16.5
38.1,15.6
42.3,15.8
49.2,15
33.4,16
37.8,15.2
36,16.8
38.1,16.9
35.2,15.9
21,17.5
45.8,15.6
36.2,16.3
34.4,16.5
44.3,14.4
32.1,17.1
34.6,16.4
31,16.1
38.6,15.5
36.5,16.7
25.7,16.7
39.2,15.4
21.5,17.6
37.1,15.9
42.6,15.4
33,16.2
31.6,17.2
36,16.4
29.1,17.1
38.2,15.9
31.5,17.2
31.4,16.6
36.2,16.3
34.2,15.8
33.2,15.8
39.2,16.1
36.4,15.4
