index,age,duration,previous,housing_yes,default_yes,loan_yes,poutcome_other,poutcome_success,poutcome_unknown,job_blue-collar,job_entrepreneur,job_housemaid,job_management,job_retired,job_self-employed,job_services,job_student,job_technician,job_unemployed,job_unknown,marital_married,marital_single,y_yes
0,30,79,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0
1,33,220,4,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
2,35,185,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
3,30,199,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4,59,226,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,35,141,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
6,36,341,2,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
7,39,151,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
8,41,57,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
9,43,313,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
10,39,273,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0
11,43,113,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
12,36,328,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
13,20,261,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1
14,31,89,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
15,40,189,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
16,56,239,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
17,37,114,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
18,25,250,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
19,31,148,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
20,38,96,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
21,42,140,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
22,44,109,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
23,44,125,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0
24,26,169,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0
25,41,182,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
26,55,247,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
27,67,119,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
28,56,149,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0
29,53,74,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,68,897,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1
31,31,81,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
32,59,40,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
33,32,958,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1
34,49,354,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1
35,42,150,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
