Date,MSFT,KO,XOM,IBM,CVX,AAPL,UTX,PG,CAT,WBA,BA,PFE,JNJ,MMM,MRK,DIS,MCD,JPM,WMT,NKE,AXP,INTC,TRV,VZ,HD,C,CSCO,GS,V,UNH
20150102,384273680,184577961.82,393091327.07,160384299.6,212823933.92,637002389.27,104877136.32,244379642.36,55624060.12,82838176,92645253.5,197399583.81,292562977.2,104348722.4,163041426.87,158972906.25,90761005.04,233599430.61,276872021,64995863.53,96245654.54,172637280,34942816,194871039.04,136302846.61,164380018.88,141186164.68,84674497.86,130785509.92507,96727736.98
20150105,380698850,184577961.82,382335623.41,157860656.7034,204317025.92,619007718.75,103126752.96,243217731.19,52687874.97,81203212,92003616.5,196328472.12,290519626.9,101995374.4,165464668.92,156649782.18,89758604.92,226347343.95,276066223.5,63949418.5,93700349.12,170690600,34521938,193252646.68,133443162.02,159199594.4,138373691.28,82030733.64,127898585.74493,95134483.92
20150106,375151700,185979597.98,380303049.49,154456246.0966,204222504.72,619065978.3,101668100.16,242109862.4,52348851.53,81410307.44,90919962.9,197966642.94,289092080.8,100907739.6396,171964659.36,155818883.79,89924049.6,220478387.22,278193528.9,63573245.45,91703422.51,167509440,34213736,195203016.96,133034635.65,153595041.6,138322555.4,80371303.38,127074447.5,94942525.72
20150107,379918140,188301057.87,384156470.88,153446783,204052366.56,627746651.25,102771206.34,243379858.33,53160086.19,83492161.6,92331557.1707,200675925.45,295474051.6,101639192,175642285.53,157412852.13,91490908.04,220814824.23,285574634,64886431.37,93431333.1,171022960,34797000,191675751.56,137594317.07,155018900.96,139600952.4,81569054.88,128777003.28493,95911914.63
20150108,391094620,190578716.63,390550609.67,156781937.2,208721713.84,651866104.95,104521589.7,246163040.9,53704945.29,84527638.8,93964174,204771352.5,297797312.9,104075225.2,179177368.05,159040734.69,91831529.44,225749233.71,291601999.3,66384284.06,94755719.66,174204120,35519452,195783978.32,140638497.44,157351606.72,140674805.88,82871337.42,130504228.78493,100490117.7
20150109,387807420,188476262.39,390000120.9,157464802.6,204562781.04,652430023.48,103947245.16,243866239.75,53063222.35,82478483.92,93778805.0707,205716451.05,293738603.4,102796784.8,178350614.88,159820761.75,90712344.84,221824135.26,287992026.5,65652456.49,93555494.34,174536480,35072062,194041094.24,138226874.03,153837400.64,142106610.52,81599547.45546,128569731.29,99549522.52
20150112,382958800,186768018.32,382505004.57,154822410.4,200158093.12,636353719,104339258.1,242974540.48,52603119.11,82511183.2,93301149.1,206472529.89,292730923.8,102237075.9604,177609387.9,160176861.06,90517704.04,219917658.87,290151563.8,65563542.86,92603591.5,173776800,34863280,195369005.92,137607495.34,152625605.44,143436143.4,80606502.57546,128318044.92507,98426567.05
20150113,380945390,186724217.19,381107610,155188584.6,196982180.8,642003724.56,104238975.72,244001345.7,52288311.63,82031593.76,93515028.1,204393313.08,293234763.6,102160744.8,177295791.87,161414730.09,90342527.32,219955040.76,287863098.9,64982184.51,92324228.71,173302000,34916304,195783978.32,136698194.71,151534989.76,143666254.86,80545517.42454,128693104.54,98925658.37
20150114,377658190,186417609.28,380006632.46,154189028,196415053.6,639557330.4,103491416.16,243163688.81,52106691.93,81737300.24,92951813.4,204645339.36,291107440,101664633.6,178578684.72,159786847.53,89087094.16,212366517.09,279160485.9,64093048.21,90089326.39,172589800,34389378,194912536.28,135261763.28,148596386.4,142771376.96,78498455.58,126117071.08,99175204.03
20150115,373754640,185629188.94,376703699.84,152971756.0966,194089832.08,622199581.36,103491416.16,242812413.34,51047243.68,81508405.28,92780710.2,204141286.8,286880783.9,101550146.4,176412021.24,159990332.85,88931381.52,205563013.11,281642342.2,63477492.31,88858060.76,171830120,34535194,195452000.4,133113705.27,143082718.24,140163447.08,77740609.89546,124917883.09,100259767.86
20150116,380000320,186286205.89,385850282.48,155515172.4,198721370.88,617365040.52,105889076.7,246568358.75,50768760.14,82870875.28,93236985.4,206661549.6,291219404.4,103038480,179690525.19,161397772.98,89038433.96,209076910.77,279676196.3,63600603.49,89023609.08,173064600,35307356,199145254.76,137212147.24,144233923.68,141544115.84,77191817.58,125816040.35,101517094.07
20150120,381233020,189045677.08,385723246.61,155327137,201273443.28,633266602.56,107147164.74,246406231.61,50835354.03,82892674.8,93550674.6,208551746.7,283521851.9,103000317.6,178493158.53,160651660.14,88366923.2,208254509.19,279418341.1,64024653.11,90285915.02,171355320,35075376,199933702.32,136065637.75,143173602.88,143538415.16,76494943.98,126748742.12,101373125.42
